popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
73,-4.095,2.94e-05,0.496,0.474,0.0589,0.00552,167.06
76,-7.827999999999999,0.447,0.737,0.324,0.255,0.00817,123.881
74,-4.938,0.00355,0.451,0.198,0.102,0.0264,122.444
80,-3.169,1.85e-06,0.316,0.32,0.396,0.00895,189.931
81,-3.659,0.0011099999999999,0.581,0.7240000000000001,0.268,0.000504,90.578
76,-3.435,0.000582,0.613,0.537,0.152,0.00148,105.046
80,-3.66,0.0,0.33,0.2339999999999999,0.0926,0.00108,148.112
81,-5.653,0.0104,0.542,0.374,0.136,0.00172,153.398
78,-3.401,0.0,0.629,0.93,0.263,0.0424,161.944
75,-4.225,0.0036,0.647,0.875,0.15,0.00434,126.942
81,-3.442,0.0,0.618,0.875,0.1669999999999999,0.0179,91.455
77,-8.821,0.000899,0.278,0.494,0.136,0.000423,104.545
71,-6.422999999999999,6.79e-06,0.659,0.623,0.0841,0.0013599999999999,110.022
77,-4.985,0.0,0.5670000000000001,0.635,0.114,0.0938,170.06
79,-5.707999999999999,1.12e-05,0.545,0.5429999999999999,0.168,0.00664,99.01
79,-5.356,0.000417,0.276,0.173,0.201,0.00552,137.028
77,-4.046,0.064,0.602,0.411,0.1169999999999999,0.000202,128.019
79,-10.572,0.0,0.657,0.298,0.114,0.872,103.973
78,-2.042,7.859999999999999e-05,0.38,0.769,0.368,2.64e-05,186.113
77,-4.103,0.00011,0.217,0.236,0.222,0.000289,96.95
71,-6.4110000000000005,0.0,0.7140000000000001,0.59,0.0726,0.0156,99.988
77,-5.477,0.0,0.614,0.516,0.0997,0.00797,107.849
75,-5.157,0.0,0.498,0.4529999999999999,0.139,0.00461,89.34200000000001
74,-3.3280000000000003,0.0,0.599,0.6920000000000001,0.2689999999999999,0.00506,96.234
74,-5.176,0.0,0.574,0.573,0.0769,0.000618,98.075
73,-3.468,6.670000000000001e-05,0.5489999999999999,0.526,0.39,0.00164,112.447
74,-3.405,0.00147,0.6559999999999999,0.544,0.144,0.00347,130.936
79,-4.7410000000000005,0.0,0.499,0.6990000000000001,0.163,0.00898,161.977
73,-4.262,6.89e-06,0.695,0.941,0.106,0.000996,89.954
72,-7.532999999999999,0.0106,0.563,0.517,0.39,0.00834,97.867
71,-4.49,0.00168,0.309,0.725,0.113,0.000213,143.526
71,-7.0360000000000005,0.00124,0.4679999999999999,0.17,0.271,0.00014,104.102
72,-3.868,0.000177,0.433,0.368,0.162,0.000336,89.4
71,-3.318,0.0008029999999999,0.509,0.332,0.348,0.000671,140.055
94,-6.35,0.000512,0.818,0.174,0.099,0.0143,97.064
98,-4.206,3.33e-06,0.841,0.591,0.0618,0.153,95.948
73,-6.08,0.00107,0.687,0.303,0.146,0.0557,94.973
94,-4.722,0.0,0.638,0.249,0.105,0.346,100.027
87,-4.178999999999999,0.0,0.746,0.667,0.331,0.352,166.043
73,-3.932,6.72e-06,0.823,0.184,0.0964,0.0348,100.04
85,-6.869,5.07e-06,0.701,0.6629999999999999,0.135,0.235,91.947
92,-5.144,0.0,0.8,0.367,0.359,0.00381,143.01
83,-4.566,0.0,0.8170000000000001,0.674,0.0992,0.266,130.04
77,-5.718999999999999,7.85e-06,0.8170000000000001,0.777,0.245,0.1369999999999999,103.029
95,-3.559,0.0,0.635,0.286,0.125,0.172,102.063
95,-3.998,0.0,0.816,0.65,0.372,0.099,136.048
74,-5.138999999999999,1.31e-05,0.815,0.5710000000000001,0.275,0.267,109.989
77,-4.0360000000000005,2.28e-05,0.7509999999999999,0.349,0.133,0.3979999999999999,105.031
75,-4.695,0.0,0.84,0.619,0.309,0.102,92.018
75,-3.646,0.0,0.831,0.69,0.0572,0.181,132.109
88,-3.112,0.0,0.792,0.794,0.0501,0.165,94.968
77,-7.522,0.0,0.596,0.6609999999999999,0.0565,0.0983,133.247
84,-4.877,0.0,0.7040000000000001,0.926,0.0215,0.0185,105.115
79,-6.596,0.0,0.6459999999999999,0.6809999999999999,0.0715,0.00249,99.165
74,-6.055,0.000234,0.8909999999999999,0.818,0.0521,0.2019999999999999,100.972
79,-4.699,0.0,0.894,0.583,0.0388,0.0183,105.018
76,-3.363,0.0,0.375,0.478,0.211,0.071,159.841
84,-5.892,0.0,0.778,0.7559999999999999,0.405,0.284,100.024
77,-4.432,0.0,0.675,0.768,0.086,0.217,97.03
84,-5.849,0.115,0.733,0.965,0.0956,0.145,127.975
74,-6.212000000000001,1.79e-06,0.775,0.7120000000000001,0.0662,0.132,117.513
73,-4.343,0.0,0.421,0.63,0.123,0.0653,84.803
85,-7.064,0.0,0.422,0.331,0.132,0.922,119.93
78,-5.862,0.0,0.4679999999999999,0.499,0.154,0.154,79.297
78,-5.794,0.0,0.613,0.484,0.37,0.00882,80.003
75,-5.406000000000001,0.0303,0.662,0.4039999999999999,0.114,0.00165,131.0
76,-2.261,0.000532,0.728,0.965,0.175,0.103,79.52600000000001
71,-2.741,1.27e-06,0.755,0.735,0.291,0.0746,120.032
71,-5.745,3.67e-06,0.764,0.581,0.18,0.0439,146.075
77,-5.562,0.0,0.967,0.964,0.0519,0.0584,117.0
76,-4.51,0.0,0.63,0.529,0.0789,0.173,94.023
73,-4.843,0.0012,0.61,0.861,0.0821,0.031,172.638
77,-5.898,7.74e-06,0.585,0.427,0.3,0.0572,77.987
80,-8.97,0.0,0.6559999999999999,0.556,0.118,0.235,94.514
73,-3.866,3.05e-06,0.457,0.0992,0.114,0.578,76.193
75,-4.087,0.0,0.581,0.7879999999999999,0.139,0.0295,129.99200000000002
79,-5.419,6.47e-06,0.649,0.158,0.111,0.03,89.969
76,-5.226,0.0,0.7240000000000001,0.235,0.0889,0.073,139.0
75,-3.2060000000000004,0.0,0.6709999999999999,0.529,0.298,0.192,129.023
72,-5.292999999999999,0.0,0.426,0.272,0.188,0.0383,193.437
81,-5.886,0.0,0.638,0.225,0.146,0.188,104.036
77,-3.142,0.0,0.583,0.573,0.188,0.0208,123.052
78,-5.946000000000001,0.0,0.843,0.615,0.0771,0.142,94.946
72,-4.805,0.000125,0.711,0.8009999999999999,0.215,0.00498,128.001
77,-5.444,1.77e-05,0.7509999999999999,0.894,0.355,0.3,95.053
77,-6.582000000000001,0.0,0.624,0.565,0.104,0.575,73.884
77,-8.966000000000001,1.07e-06,0.794,0.862,0.1009999999999999,0.0426,116.047
75,-6.162000000000001,0.0,0.68,0.467,0.261,0.0161,150.053
78,-10.96,0.00107,0.944,0.8420000000000001,0.0379,0.042,113.046
77,-6.332999999999999,0.0,0.706,0.63,0.0822,0.00577,100.013
74,-6.2620000000000005,0.0,0.53,0.349,0.107,0.407,119.964
76,-4.862,1.12e-05,0.7929999999999999,0.872,0.2019999999999999,0.236,107.661
77,-8.238,0.0,0.662,0.6759999999999999,0.0465,0.257,86.412
76,-7.519,0.00101,0.653,0.482,0.233,0.263,95.982
83,-4.08,0.0,0.64,0.361,0.1009999999999999,0.2689999999999999,122.035
73,-3.318,0.0,0.519,0.29,0.119,0.271,147.905
72,-3.073,0.0,0.64,0.436,0.3389999999999999,0.107,99.931
