popularity,loudness,instrumentalness,danceability,audio_valence,liveness,acousticness,tempo
73,-4.095,2.94e-05,0.496,0.474,0.0589,0.00552,167.06
66,-6.407,0.0,0.542,0.37,0.108,0.0103,105.256
76,-7.827999999999999,0.447,0.737,0.324,0.255,0.00817,123.881
74,-4.938,0.00355,0.451,0.198,0.102,0.0264,122.444
56,-5.065,0.0,0.447,0.574,0.113,0.0009539999999999,172.011
80,-3.169,1.85e-06,0.316,0.32,0.396,0.00895,189.931
81,-3.659,0.0011099999999999,0.581,0.7240000000000001,0.268,0.000504,90.578
76,-3.435,0.000582,0.613,0.537,0.152,0.00148,105.046
80,-3.66,0.0,0.33,0.2339999999999999,0.0926,0.00108,148.112
81,-5.653,0.0104,0.542,0.374,0.136,0.00172,153.398
78,-3.401,0.0,0.629,0.93,0.263,0.0424,161.944
63,-4.1530000000000005,0.0,0.496,0.243,0.639,0.0046,110.018
75,-4.225,0.0036,0.647,0.875,0.15,0.00434,126.942
81,-3.442,0.0,0.618,0.875,0.1669999999999999,0.0179,91.455
69,-3.899,0.0007469999999999,0.42,0.3,0.122,0.0003529999999999,127.204
77,-8.821,0.000899,0.278,0.494,0.136,0.000423,104.545
71,-6.422999999999999,6.79e-06,0.659,0.623,0.0841,0.0013599999999999,110.022
62,-4.979,2.9e-06,0.37,0.345,0.135,0.00701,130.315
77,-4.985,0.0,0.5670000000000001,0.635,0.114,0.0938,170.06
79,-5.707999999999999,1.12e-05,0.545,0.5429999999999999,0.168,0.00664,99.01
69,-3.881,0.000271,0.309,0.302,0.5820000000000001,0.0014,183.035
79,-5.356,0.000417,0.276,0.173,0.201,0.00552,137.028
13,-5.818,0.000398,0.518,0.687,0.141,0.0137,170.953
62,-2.603,1.07e-05,0.58,0.861,0.386,0.0171,134.007
77,-4.046,0.064,0.602,0.411,0.1169999999999999,0.000202,128.019
79,-10.572,0.0,0.657,0.298,0.114,0.872,103.973
28,-4.488,0.0,0.44,0.495,0.142,0.0102,157.438
78,-2.042,7.859999999999999e-05,0.38,0.769,0.368,2.64e-05,186.113
77,-4.103,0.00011,0.217,0.236,0.222,0.000289,96.95
71,-6.4110000000000005,0.0,0.7140000000000001,0.59,0.0726,0.0156,99.988
11,-5.671,0.000273,0.5820000000000001,0.674,0.517,0.000194,167.738
77,-5.477,0.0,0.614,0.516,0.0997,0.00797,107.849
65,-4.053999999999999,0.000549,0.509,0.0824,0.143,0.0018899999999999,116.529
75,-5.157,0.0,0.498,0.4529999999999999,0.139,0.00461,89.34200000000001
74,-3.3280000000000003,0.0,0.599,0.6920000000000001,0.2689999999999999,0.00506,96.234
74,-5.176,0.0,0.574,0.573,0.0769,0.000618,98.075
11,-4.04,0.0,0.433,0.365,0.0279999999999999,0.000917,172.984
73,-3.468,6.670000000000001e-05,0.5489999999999999,0.526,0.39,0.00164,112.447
